learner,phase,turn,rating,lens_1,lens_2
Learner 1,pre,1,1,,
Learner 1,pre,2,1,,
Learner 1,pre,3,1,,
Learner 1,pre,4,1,,
Learner 1,pre,5,1,,
Learner 1,pre,6,2a,,
Learner 1,pre,7,2a,,
Learner 1,post,1,2b,Not specified,
Learner 1,post,2,1,,
Learner 1,post,3,2b,Affairs,
Learner 1,post,4,3a,Not specified,
Learner 1,post,5,3b,Society,
Learner 1,post,6,3a,Affairs,
Learner 1,post,7,2b,Not specified,
Learner 1,post,8,3a,Affairs,Technology
Learner 2,pre,1,1,,
Learner 2,pre,2,1,,
Learner 2,pre,3,1,,
Learner 2,pre,4,1,,
Learner 2,pre,5,3a,Technology,
Learner 2,pre,6,3a,Affairs,
Learner 2,pre,7,1,,
Learner 2,pre,8,2b,Technology,
Learner 2,pre,9,1,,
Learner 2,pre,10,1,,
Learner 2,pre,11,2a,,
Learner 2,pre,12,2a,,
Learner 2,pre,13,1,,
Learner 2,pre,14,3a,Place,
Learner 2,pre,15,1,,
Learner 2,post,1,2b,Not specified,
Learner 2,post,2,2a,,
Learner 2,post,3,2a,,
Learner 2,post,4,3b,Society,
Learner 2,post,5,3b,Society,
Learner 2,post,6,3a,Affairs,
Learner 2,post,7,3a,Not specified,
Learner 2,post,8,1,,
Learner 2,post,9,3a,Not specified,
Learner 2,post,10,3a,Technology,
Learner 2,post,11,1,,
Learner 2,post,12,3a,Society,
Learner 2,post,13,1,,
Learner 2,post,14,3a,Society,
Learner 3,pre,1,1,,
Learner 3,pre,2,3a,Place,
Learner 3,pre,3,3a,Society,
Learner 3,pre,4,3a,Society,
Learner 3,pre,5,2a,,
Learner 3,pre,6,2a,,
Learner 3,post,1,2a,,
Learner 3,post,2,3a,Society,
Learner 3,post,3,2a,,
Learner 3,post,4,2b,Place,Society
Learner 3,post,5,2b,Society,
Learner 3,post,6,3a,Society,
Learner 4,pre,1,2a,,
Learner 4,pre,2,1,,
Learner 4,pre,3,1,,
Learner 4,pre,4,1,,
Learner 4,pre,5,2b,Society,
Learner 4,pre,6,3a,Not specified,
Learner 4,pre,7,2b,Not specified,
Learner 4,post,1,2b,Not specified,
Learner 4,post,2,2b,Society,
Learner 4,post,3,3a,Not specified,
Learner 4,post,4,1,,
Learner 4,post,5,3b,Society,
Learner 4,post,6,3b,Society,
Learner 5,pre,1,2b,Not specified,
Learner 5,pre,2,2b,Society,
Learner 5,pre,3,2b,Society,
Learner 5,pre,4,2b,Society,
Learner 5,pre,5,2a,,
Learner 5,pre,6,2b,Place,
Learner 5,pre,7,1,,
Learner 5,pre,8,3a,Place,
Learner 5,post,1,2b,Society,
Learner 5,post,2,2b,Not specified,
Learner 5,post,3,1,,
Learner 5,post,4,2b,Society,
Learner 5,post,5,3b,Society,
Learner 5,post,6,3a,Affairs,
Learner 5,post,7,3a,Technology,
Learner 5,post,8,2b,Not specified,
Learner 5,post,9,3a,Society,
Learner 5,post,10,3a,Affairs,
Learner 5,post,11,3a,Society,
Learner 6,pre,1,1,,
Learner 6,pre,2,1,,
Learner 6,pre,3,2b,Not specified,
Learner 6,pre,4,1,,
Learner 6,pre,5,2a,,
Learner 6,pre,6,3a,Place,Society
Learner 6,pre,7,3a,Society,
Learner 6,post,1,2b,Place,
Learner 6,post,2,2a,,
Learner 6,post,3,3b,Society,
Learner 6,post,4,3b,Society,
Learner 6,post,5,2b,Place,Society
Learner 6,post,6,3b,Society,
Learner 6,post,7,2b,Society,
Learner 6,post,8,3b,Society,
Learner 6,post,9,2b,Society,
